creative_id,creative_name,object_type,video_id,effective_object_story_id,effective_instagram_media_id,title_headline,cta,link_url,product_set_id,body_primary_text,source
1006687488994923,"She said it best ✨ Lightweight, nourishing, packed with Niacinamide + SPF 30 protection an",NOT IN SOURCE,NOT IN SOURCE,NOT IN SOURCE,18327470974255215,NOT IN SOURCE,NOT IN SOURCE,https://pastryskincare.co.za/products/anti-pigment-spf30-hand-cream,,"She said it best ✨ Lightweight, nourishing, packed with Niacinamide + SPF 30 protection and a lovely fragrance 🖐🏽 Our Anti-Pigment Hand Cream is a must-have.  #PastrySkincare #HandCream #Niacinamide #handcare",ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1011306704837234,Looks like there’s a Pastry Skincare Birthday Celebration happening soon - we’ve spotted s,VIDEO,1672595620672869,116534118031737_1672595620672869,18109298293942058,NOT IN SOURCE,SHOP_NOW,NOT IN SOURCE (post-native link),,Looks like there’s a Pastry Skincare Birthday Celebration happening soon - we’ve spotted some hints 🤭👀💚 Can you guess what we’re announcing next?   #fyp #pastryskincare #5yearsofPastrySkincare,ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1014884021106011,POV: It’s the long weekend and you’re making sure your family knows you don’t play around ,VIDEO,1921319731776573,116534118031737_1921319731776573,18104764099783085,NOT IN SOURCE,SHOP_NOW,NOT IN SOURCE (post-native link),,POV: It’s the long weekend and you’re making sure your family knows you don’t play around with your Pastry Skincare 🤭 Tag someone below to let them know how strict you are 💁🏾‍♀️  #pastryskincare #skincare #bodycare #fyp,ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1016327727870773,"🎂 5 years of Pastry Skincare and we’re still keeping you guessing… 👀

Is it lotion? 🤔
Is i",VIDEO,997715983092345,116534118031737_997715983092345,18124521952640426,NOT IN SOURCE,SHOP_NOW,NOT IN SOURCE (post-native link),,"🎂 5 years of Pastry Skincare and we’re still keeping you guessing… 👀  Is it lotion? 🤔 Is it cake? 🎂  As we celebrate this incredible milestone, we want to thank every customer, partner, and supporter who has been part of our story. 💙  Here’s to the next 5 years of Pastry, continued growth, innovation, and even sweeter moments ahead! 🥂✨  #PastrySkincare #PastryTurns5 #IsItCake #birthdaycelebration",ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1019293427658617,PASTRY_TEST_W6_26_DEODORANT_REVIEW_18038664887766945 2026-08-05-62d8ee59cea3dd1a7b4ec9e18c,VIDEO,1050103224432053,116534118031737_1034012329622196,18068169923707846,Shop Pastry Skincare,SHOP_NOW,NOT IN SOURCE (post-native link),,"1-month review ✨ After consistent use of the Pastry Skincare Anti-Pigmentation Deodorant, formulated with Niacinamide and Salicylic Acid, she’s seeing visibly brighter, smoother underarms. Real results. Real review  🛍️ Shop online or instore @beautyontapp   #pastryskincare #review #darkunderarms #fyp #hyperpigmentation",ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1036641345651931,PASTRY_TEST_W2_8_SIX-WEEK_CUSTOMER_JOURNEY_18126168892676101 2026-08-05-c1e9c15dbe0e997e90,VIDEO,1356857919885627,116534118031737_1034007622956000,18409947541159460,Shop Pastry Skincare,SHOP_NOW,NOT IN SOURCE (post-native link),,"6 weeks of consistency and my skin is thanking me. ✨   Fewer breakouts, smoother skin and my pigmentation is slowly fading. Trust the process because healthy skin takes time. 🤎  #PastrySkincare #BodyCare #ClearSkinJourney #Hyperpigmentation #bodyacne",ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1042744574782765,PASTRY_TEST_W5_25_BIKINI-LINE_ROUTINE_18187378537374577 2026-08-05-a147088772fb4682bc41952,VIDEO,1362739972731938,116534118031737_1034012112955551,18025301141894839,Shop Pastry Skincare,SHOP_NOW,NOT IN SOURCE (post-native link),,"Here’s how to do an at home bikini line treatment to reduce the appearance of pigmentation, ingrowns and blemishes. ✨💚 This 3 step exfoliating routine helps brighten and smooth that area 🐱 Say hello to even toned skin.   Shop this trio on www.pastryskincare.co.za and exclusively @beautyontapp 🛒 #fyp",ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1048949520952779,PASTRY_TEST_W1_3_BODY_PIGMENTATION_BY_AREA_18097918024986477 2026-08-05-277401511749493521,VIDEO,1914320649954655,116534118031737_1033977042959058,18186499423401828,Shop Pastry Skincare,SHOP_NOW,NOT IN SOURCE (post-native link),,"Body pigmentation doesn’t look the same everywhere and neither should your routine. ✨ Here’s what to use for underarms, inner thighs, stretch marks, knees, elbows, chest and more. 🤍 Shop online at www.pastryskincare.co.za or visit us instore at Beaty On TApp🛍️ #PastrySkincare #BodyCare #Hyperpigmentation #SkincareRoutine",ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1052941484078554,"A trip for stretch marks, whether you’re pregnant, postpartum or simply looking to improve",VIDEO,1689150382402402,116534118031737_1689150382402402,18080572940228591,NOT IN SOURCE,NOT IN SOURCE,NOT IN SOURCE (post-native link),,,ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
1062475416522925,PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828__W5_03__HAND_CARE_ROUTINE__DHL,VIDEO,1516950890188090,116534118031737_1053775834312512,17943382473449613,Hand-care routine,SHOP_NOW,NOT IN SOURCE (post-native link),,Build a simple daily hand-care routine with Pastry Skincare. Shop online at pastryskincare.co.za. DHL Express international delivery is available. Delivery fees are calculated at checkout; duties and import fees may apply.,ads_get_creatives creative_ids batch 2026-09-06 10:35 UTC
